date,Prophet_forecast,NeuralProphet_forecast,ElasticNet_forecast,Gboosting_forecast,XGBoost_forecast,Stacking_ml_forecast,Stacking_dl_forecast,Stacking_ml-dl_forecast,Ensemble_forecast,close,RNN_forecast,LSTM_forecast,BidirectionalLSTM_forecast,ESM_forecast,Ensemble_ml_forecast,Ensemble_dl_forecast,Ensemble_ml_dl_forecast,Weighted_ml_forecast,Weighted_dl_forecast,Weighted_ml_dl_forecast
2022-12-08,4358.6348552283725,4350.24072265625,4821.227371775065,4416.462821329482,4408.2544,4820.075309729677,4806.737487780403,4819.982639281823,4549.880855271068,4820.22998046875,4957.6777,4912.7725,4894.8936,4859.198791128542,4548.648195878599,4921.781266666666,4735.214731272633,4550.165921409599,4921.738729125453,4735.909890069009
2022-12-09,4353.832673892186,4347.205078125,4820.248738922242,4416.462821329482,4408.679,4820.367634513974,4788.974040048202,4820.274862205164,4551.569455518044,4820.580078125,4961.6157,4908.2593,4910.8794,4864.203686475061,4548.463586490158,4926.918133333334,4737.690859911745,4549.976767516557,4926.88435509066,4738.387516850492
2022-12-12,4342.537507381262,4334.04052734375,4782.870970055566,4416.462821329482,4392.098,4778.558025224419,4783.307005878951,4778.4679636754945,4536.9611087144,4778.45751953125,4941.9966,4915.04,4890.597,4879.249323520693,4530.477311972099,4915.877866666667,4723.1775893193835,4531.887803071098,4915.84269956692,4723.821402033173
2022-12-13,4350.767062338458,4342.26318359375,4838.5859831078105,4420.972365508493,4409.562,4843.572294378334,4778.36594978145,4843.478303264021,4559.689828107629,4844.1298828125,4941.0454,4930.8716,4926.986,4884.274870587914,4556.373453445018,4932.967666666667,4744.6705600558425,4557.945713722135,4932.958145256363,4745.40910147103
2022-12-14,4348.065863042082,4340.68359375,4769.200659033839,4416.462821329482,4458.112,4762.812849966974,4761.567230516946,4762.7238172503185,4546.624668686824,4762.580078125,4949.855,4876.5503,4886.211,4889.305593886486,4547.9250989231905,4904.205433333333,4726.065266128261,4549.142297681484,4904.163284469763,4726.612246165611
2022-12-15,4343.553519136804,4334.0673828125,4776.678859443096,4416.462821329482,4408.2544,4776.420765268887,4769.329559351159,4776.330867995838,4535.031351160412,4776.580078125,4925.2993,4876.6914,4857.433,4894.341498747845,4533.798691767943,4886.474566666667,4710.136629217305,4535.151327933714,4886.428588196927,4710.749840704835
2022-12-16,4339.702890496282,4331.3525390625,4789.361426423093,4416.462821329482,4408.679,4790.641087313941,4746.4017362637405,4790.550203397571,4541.273684684994,4790.919921875,4918.5884,4863.15,4863.496,4899.382590508915,4538.167815657108,4881.7447999999995,4709.956307828554,4539.566533448998,4881.7080342755135,4710.59820984444
2022-12-19,4331.049132691415,4319.580078125,4766.289199982728,4416.462821329482,4392.098,4763.006018039727,4768.2388075045565,4762.916944439136,4531.433852023453,4762.96044921875,4903.058,4876.538,4842.5034,4914.53704064213,4524.950055281153,4874.033133333333,4699.491594307244,4526.29909710267,4873.991519366623,4700.105600277941
2022-12-20,4339.997617654397,4328.38232421875,4773.598567325549,4420.972365508493,4409.562,4774.009559345242,4755.20080096291,4773.919987235333,4538.027356180209,4774.25,4900.561,4893.5605,4884.413,4919.5989334813175,4534.710981517597,4892.844833333333,4713.777907425465,4536.042409258279,4892.833733701141,4714.397324389591
2022-12-21,4337.897503254725,4327.42578125,4764.560493346386,4416.462821329482,4458.112,4763.833378695327,4750.323333368731,4763.744281149119,4545.077946791006,4763.9599609375,4906.5806,4831.574,4834.9917,4924.666039987411,4546.378377027372,4857.715433333334,4702.046905180353,4547.578380104647,4857.667762483514,4702.587657764819
2022-12-22,4333.852317447931,4321.46728515625,4763.88758083408,4416.462821329482,4408.2544,4762.842365204671,4750.48969910855,4762.753330505667,4530.767591624073,4762.97021484375,4891.9146,4851.827,4829.9756,4929.7383655303975,4529.534932231604,4857.905733333334,4693.720332782469,4530.840166049789,4857.863621083266,4694.314546093984
2022-12-23,4330.323605575134,4319.43603515625,4757.954957322596,4416.462821329482,4408.679,4757.092280179001,4737.378183999106,4757.003527465874,4530.804861651495,4757.25,4894.2935,4841.1294,4839.102,4934.815915485803,4527.698992623609,4858.1749666666665,4692.936979645138,4528.981323273112,4858.138051818059,4693.522096444114
2022-12-26,4321.728125752103,4309.78466796875,4732.8143862906345,4416.462821329482,4392.098,4730.31099957907,4737.006375033356,4730.224002944408,4520.275580792756,4730.2998046875,4865.3647,4843.505,4804.066,4950.079965664839,4513.791784050455,4837.645233333333,4675.718508691894,4515.0167737891015,4837.60293370593,4676.273013032989
2022-12-27,4330.40785900796,4319.28955078125,4728.5846679006445,4420.972365508493,4409.562,4727.454460395665,4719.09295994756,4727.367845719604,4523.022723038574,4727.580078125,4862.5386,4857.371,4845.978,4955.178467135964,4519.706348375962,4855.295866666666,4687.501107521314,4520.87096210438,4855.284413099448,4688.039496160331
2022-12-28,4327.914880280445,4319.02197265625,4758.191534089392,4416.462821329482,4458.112,4760.877132981846,4719.05444521239,4760.788223232494,4542.954960372009,4761.25,4859.025,4787.0923,4789.283,4960.282219980284,4544.255390608375,4811.8001,4678.027745304187,4545.4317913836685,4811.753619185101,4678.56229019642
2022-12-29,4323.371805996683,4313.72998046875,4770.50642416978,4416.462821329482,4408.2544,4771.457941853315,4721.39372813346,4771.368359845883,4532.973872735974,4771.740234375,4857.4976,4823.843,4800.8506,4965.39122960663,4531.741213343504,4827.397066666666,4679.5691400050855,4533.070975492438,4827.358447289916,4680.18110250746
2022-12-30,4319.263369537031,4312.3388671875,4840.703580534937,4416.462821329482,4408.679,4847.422012202292,4736.043533477363,4847.327521251826,4558.387736055609,4848.1298828125,4876.386,4834.9883,4836.1846,4970.505501429399,4555.281867027723,4849.1863,4702.234083513862,4556.870850289504,4849.159504727063,4702.98179689803
